Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8794518817883304,0.8709270017681232,0.8684242205368965,0.8265997758445857
26,0.8800202071230109,0.8725688305127558,0.8689057421451787,0.8311896248065325
25,0.8803990906794645,0.8666961353877242,0.8664981341037679,0.8327373645727705
24,0.8834933063905027,0.8667592826471331,0.8667990851089442,0.8306559214388644
23,0.8811568577923717,0.8654331901995455,0.8664981341037679,0.8261728131504511
22,0.8796413235665573,0.8578555190704724,0.8678223185265439,0.8278272935902226
21,0.8834933063905027,0.8649280121242738,0.8659564222944505,0.8279073490953728
20,0.8850088406163173,0.8638545087143219,0.8666787047068737,0.8252121470886481
19,0.8865243748421318,0.8646122758272291,0.8654749006861683,0.8296418850402947
18,0.882104066683506,0.8560242485476132,0.864752618273745,0.8212093718311363
17,0.8904395049254863,0.8562452639555442,0.8635488142530396,0.8244382772055292
16,0.8870927001768123,0.8547928769891388,0.8635488142530396,0.8271334792122539
15,0.884724677948977,0.8597815104824451,0.8611412062116287,0.8219832417142552
14,0.8851035615054307,0.8475940894165194,0.8615023474178404,0.8227571115973742
13,0.8861770649153827,0.840932053548876,0.8606897797038643,0.8233441853018093
12,0.8905026521848951,0.839795402879515,0.8591850246779824,0.8125366921065271
11,0.8941020459712049,0.8595604950745138,0.8598170217888527,0.8050915301275551
10,0.8916393028542562,0.8580449608486993,0.8561755146262188,0.8075999359555959
9,0.8886082344026269,0.8537193735791868,0.853767906584808,0.8085072316806319
8,0.8884187926244002,0.8635703460469816,0.8571084627422655,0.8047713081069543
7,0.88425107350341,0.8622442535993938,0.840134826050319,0.8052516411378555
6,0.8833985855013893,0.858771154331902,0.8410978692668833,0.8011154400384266
5,0.8744316746653196,0.8587711543319021,0.8270133622246298,0.7965522762448631
4,0.8558979540287952,0.8444367264460724,0.8264114602142771,0.7827827293590222
3,0.8281131598888609,0.8413109371053297,0.8190983507884917,0.756364412659444
2,0.8039277595352361,0.8374905279110887,0.8191886360900446,0.7401665154507124
1,0.789088153574135,0.782047234150038,0.7875285903454918,0.6694508192346693
