Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7618489757665017,0.7881136950904393,0.7371297952693302,0.7909420815793293
26,0.7489958495113135,0.7854303319419599,0.7346451997614788,0.7935549426622152
25,0.7456152095327353,0.7902338832571391,0.7367653879281787,0.7912033676876179
24,0.7450127192395234,0.7918902802623733,0.7359703173656662,0.7929162432863986
23,0.7476235105101086,0.7932153978665606,0.734214536540118,0.7886776019741617
22,0.7481925291203643,0.7879480553899159,0.7333200821572915,0.7933226883437364
21,0.7489958495113134,0.7868879613065659,0.7417014510037766,0.793380751923356
20,0.7493975097067881,0.795799377194726,0.7474988405220963,0.7934388155029758
19,0.7471883786316776,0.7878817995097065,0.744914861193931,0.7916969081143853
18,0.7547529789797831,0.7892069171138938,0.7473000728814683,0.7958484540571926
17,0.7515731690989422,0.7878486715696018,0.7443185582720466,0.7742488024386703
16,0.7593720712277413,0.7855297157622739,0.7478963758033526,0.7709682101901582
15,0.7542174320524836,0.7814549791293978,0.751109785993507,0.7791842067063435
14,0.7560918462980319,0.7827469687934804,0.7473000728814683,0.7793293656553927
13,0.7471381711072432,0.7760219969522295,0.7490558537070166,0.770634344607345
12,0.7462009639844691,0.7631683561916119,0.7413370436626251,0.7678618086805052
11,0.7457825679475164,0.7651229046577883,0.742595905386603,0.768979532588184
10,0.7245280492703173,0.733585105678129,0.7537268932617771,0.7683408332123676
9,0.7057002276074441,0.7328562909958257,0.7614457033061683,0.764232834954275
8,0.714704110322667,0.7273570529384482,0.7501325117604187,0.7610393380751923
7,0.7134489222118088,0.7456105479361295,0.7492380573775923,0.7557555523298012
6,0.6976000803320391,0.7615119591863777,0.7478963758033527,0.7687472782697053
5,0.6783036551077788,0.7611144239051215,0.7534287418008349,0.7244883147046015
4,0.6919433659124381,0.752468031537799,0.7432087722785397,0.7188996951662071
3,0.6803956352925425,0.7458755714569667,0.7207645928576161,0.7206996661344173
2,0.651442629535413,0.7273736169085006,0.7039190353143842,0.7173029467266656
1,0.669785111795421,0.7067846021334394,0.6770191479493805,0.7005080563216722
