Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8087561824509983,0.8815259204982597,0.8346766807107528,0.8127424046541694
26,0.8104048360505587,0.8758930206997619,0.8318831287781645,0.8096719457013575
25,0.8107712035171277,0.870260120901264,0.8294101483788239,0.8080963154492565
24,0.8159919399157355,0.8686572632350247,0.8304634548452099,0.8081367162249514
23,0.8112749587836601,0.8666422421688954,0.8311961897783477,0.8110455720749838
22,0.8134731635830739,0.8533614215057703,0.8289063931122916,0.8124595992243051
21,0.8150760212493131,0.850980032973072,0.8226323502472981,0.8147220426632191
20,0.8093057336508518,0.8460340721743909,0.823365085180436,0.8015715901745314
19,0.8061000183183734,0.8576662392379557,0.8141372046162302,0.8001171622495153
18,0.7992306283202052,0.8536819930390181,0.8121450815167613,0.7980971234647705
17,0.8193350430481773,0.8522165231727422,0.8157400622824693,0.7977941176470589
16,0.8144348781828175,0.8521249313061,0.8161064297490384,0.7957538784744669
15,0.8111146730170361,0.8462630518409966,0.8169765524821396,0.8007433742727861
14,0.8066495695182268,0.8459424803077487,0.8200448800146547,0.7999353587588882
13,0.8095576112841181,0.8462859498076571,0.8234566770470783,0.7990061409179057
12,0.8155110826158638,0.8475682359406485,0.8224949624473347,0.7975517129928895
11,0.8099697746840082,0.8471331745740979,0.8202509617145998,0.8032482223658695
10,0.8148012456493863,0.8485070525737315,0.8176405935152959,0.7998343568196509
9,0.8020928741527753,0.8474995420406668,0.808618794651035,0.7918956043956042
8,0.7989329547536179,0.8425535812419858,0.8105193258838614,0.78979476405947
7,0.7982002198204798,0.8491481956402271,0.8079547536178787,0.8005817711700064
6,0.7934374427550833,0.8499725224400073,0.8066724674848873,0.789754363283775
5,0.7920864627221103,0.8424390914086829,0.7937580142883313,0.7921582094376212
4,0.7825380106246564,0.8205944312145081,0.78308756182451,0.7890675500969618
3,0.7726918849606155,0.8140227147829274,0.7966660560542224,0.778765352294764
2,0.7663262502289796,0.7848507052573731,0.7827211943579411,0.7777957336780866
1,0.7212859498076571,0.7764700494596078,0.7698067411613849,0.7320620555914672
