Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7922278338945007,0.7605920314253648,0.7637741895722914,0.7405910583480677
26,0.796506734006734,0.7605218855218855,0.7675952175520768,0.7419802980550644
25,0.7754629629629629,0.7557519640852974,0.7553925798101812,0.7464006062136903
24,0.7625561167227833,0.7490179573512907,0.7482435597189695,0.7371179590805759
23,0.7542789001122334,0.7495089786756454,0.7582275360532479,0.7411593836827483
22,0.7595398428731763,0.7410213243546577,0.7547762849747319,0.7541677191209901
21,0.7586980920314254,0.731341189674523,0.7451312707999507,0.7529047739328113
20,0.7587682379349046,0.723625140291807,0.7521570319240725,0.7460217226572367
19,0.7492985409652076,0.7281144781144782,0.746209786761987,0.7587774690578429
18,0.7408459595959596,0.7301136363636364,0.7390607666707754,0.7131851477645871
17,0.7353745791245792,0.7183291245791246,0.7279982743744607,0.7321293255872695
16,0.7393728956228957,0.7198723344556678,0.733791445827684,0.7433695377620613
15,0.7307449494949495,0.7147516835016835,0.7416183902378898,0.7665445819651429
14,0.7299031986531987,0.7238706509539843,0.7378898064834216,0.7602298560242486
13,0.7341470258136925,0.696233164983165,0.7201097004807101,0.7553675170497601
12,0.7290614478114479,0.6876052188552189,0.7123135708122766,0.7598825460974994
11,0.7264309764309764,0.6961279461279462,0.7105879452730186,0.7326029300328366
10,0.7251683501683502,0.6965488215488216,0.7039627757919389,0.7292561252841627
9,0.7236251402918069,0.7070707070707071,0.6943485763589301,0.7236991664561758
8,0.7226080246913579,0.7055976430976432,0.6915752495994083,0.6888103056327356
7,0.7064043209876544,0.7098414702581368,0.6843954147664242,0.6826850214700683
6,0.7075968013468015,0.723975869809203,0.6894798471588808,0.6709080575903006
5,0.6900252525252525,0.7174172278338946,0.674010846789104,0.6744443041172012
4,0.7095258136924805,0.7063692480359147,0.6723160359916184,0.6575839858550139
3,0.7231341189674524,0.7303942199775533,0.6678170836928387,0.687231624147512
2,0.7185395622895623,0.7113496071829405,0.6615925058548009,0.6388608234402627
1,0.6627034231200898,0.7097011784511785,0.5855725379021324,0.5813020964890124
