Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.6250529526391595,0.7234699841362612,0.7194376528117359,0.6992604059167526
26,0.6309412861136999,0.7254320781497872,0.7223629060426127,0.6966804265565876
25,0.6292044395492671,0.7230942640060115,0.7224938875305624,0.6954334365325077
24,0.6281453867660765,0.7226350505134842,0.7229741529863779,0.7010663914688683
23,0.6291620774379394,0.7253068381063705,0.7272528815927349,0.6900154798761609
22,0.6344573413538931,0.7255990648743424,0.718171498428222,0.6859735122119023
21,0.634923324578497,0.7235117308174,0.716861683548725,0.6880374957000344
20,0.6284419215453698,0.7250563580195375,0.7179095354523227,0.6914344685242518
19,0.6267050749809371,0.7189613425732655,0.7234107579462102,0.6851995184038527
18,0.6271710582055409,0.7190448359355431,0.7313133077191758,0.6945734434124526
17,0.6228924849614504,0.7180429155882108,0.7319682151589242,0.6873925008599931
16,0.6228924849614506,0.7179176755447941,0.7289556409360811,0.682920536635707
15,0.6195882402778954,0.7183351423561827,0.7317935731749913,0.7057103543171653
14,0.6210709141743624,0.7178759288636554,0.7289556409360811,0.7017113863089095
13,0.6189104464966534,0.7143065876262836,0.7219263010827802,0.7096233230134159
12,0.6206472930610862,0.7141813475828671,0.7149406217254628,0.6818885448916407
11,0.6213886300093197,0.7177298154796694,0.7162067761089765,0.7101823185414516
10,0.6234431924087096,0.7060824914419304,0.7085225288159274,0.7003998968008256
9,0.6234431924087096,0.7009893963429907,0.7060338805448831,0.7134287925696594
8,0.6105439295094468,0.7079610920931786,0.6828064966818024,0.7043773649810801
7,0.5862704397187155,0.7021165567337395,0.6958173244848062,0.7067638458892328
6,0.5800432093535542,0.7139517408366036,0.6997467691232971,0.7219212246302029
5,0.5759976277217658,0.6980880020038407,0.6968651763884038,0.7212977296181631
4,0.5879861052274845,0.6994865158219921,0.6951187565490744,0.7369496044031648
3,0.6045285097009235,0.7005928028721715,0.690861858190709,0.7390995872033025
2,0.5917351520799797,0.6988185689237705,0.6309596577017116,0.7188252493980049
1,0.591798695246971,0.603594389246055,0.5802479916171848,0.6470803233574132
