Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7663459239780062,0.7301037037037037,0.812485058570404,0.7829607936887402
26,0.7639254123834569,0.7301629629629629,0.8048649294764523,0.7711570643079129
25,0.7660470953860866,0.7351111111111112,0.8001733205833135,0.7616841979440594
24,0.7696928042075065,0.7364148148148149,0.7981711690174516,0.7599211092517332
23,0.7668539325842696,0.7372740740740742,0.8008008606263448,0.7551398517810184
22,0.7653299067654793,0.7348148148148148,0.7995756633994741,0.7570822376284962
21,0.7685273726990198,0.7360000000000001,0.7945254601960314,0.7544525460196032
20,0.767451589768109,0.732474074074074,0.7908797513746115,0.7487449199139374
19,0.7697226870666986,0.734074074074074,0.7813471192923739,0.7479081998565622
18,0.7696330384891227,0.7357925925925926,0.7785082476691371,0.7467128854888836
17,0.769334209897203,0.7293333333333334,0.7789564905570165,0.7450693282333254
16,0.7703502271097299,0.7311703703703702,0.778448481950753,0.7503585943103036
15,0.7662861582596223,0.7196444444444444,0.7760877360745876,0.7534365288070762
14,0.7662263925412385,0.7016888888888889,0.7792254362897442,0.7529882859191966
13,0.7635668180731531,0.7029481481481482,0.7834986851541955,0.7528388716232369
12,0.763865646665073,0.7117777777777776,0.7848434138178342,0.7525699258905092
11,0.7658976810901267,0.7101185185185186,0.7867857996653119,0.7491035142242409
10,0.7555283289505139,0.6997185185185185,0.7864869710733923,0.7459658140090843
9,0.7547214917523308,0.6961777777777778,0.7874133397083433,0.7433361224001912
8,0.7497310542672722,0.6884444444444444,0.7633725794884054,0.7369710733923023
7,0.7568132918957686,0.6877333333333334,0.7610566579010279,0.7335943103036098
6,0.7529434616304088,0.6731111111111111,0.750836720057375,0.7281855127898638
5,0.7551099689218265,0.6825037037037037,0.7587108534544584,0.7172782691847956
4,0.7639104709538608,0.6912592592592592,0.739003107817356,0.6904584030600047
3,0.728872818551279,0.7018666666666666,0.7468025340664595,0.678370786516854
2,0.6849001912502989,0.6899407407407407,0.7054297155151804,0.6666865885727947
1,0.6346073392302176,0.6323703703703705,0.6505199617499402,0.6647740855845087
