Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8402615902615902,0.8144263144263144,0.7994443041172012,0.7784760627897882
26,0.8394845894845895,0.808987308987309,0.8006441020459711,0.7781408859840232
25,0.8409090909090908,0.8161745661745662,0.8002020712301087,0.7757946483436681
24,0.8419450919450919,0.8098290598290597,0.800896691083607,0.7768001787609631
23,0.8406500906500907,0.8111240611240611,0.8039277595352361,0.7777498463772974
22,0.8448588448588448,0.7977207977207975,0.805253851982824,0.7788112395955533
21,0.8403263403263403,0.7942242942242942,0.7998863349330639,0.7830568124685772
20,0.8385133385133385,0.7803354053354052,0.801970194493559,0.7849002849002849
19,0.83987308987309,0.7712703962703962,0.8060116190957312,0.7860175409195017
18,0.8447293447293448,0.7726301476301476,0.794455670623895,0.7871347969387185
17,0.8426573426573426,0.7797202797202797,0.7973604445567063,0.7816323110440758
16,0.8451825951825952,0.7738927738927739,0.7992548623389745,0.7762136193508743
15,0.8405853405853406,0.7809181559181559,0.7930032836574892,0.7743142841182057
14,0.8443408443408443,0.7852240352240352,0.8154521343773681,0.7788391709960338
13,0.8453120953120953,0.7762561512561511,0.7967289719626168,0.7697056030389363
12,0.8424630924630925,0.7867132867132868,0.7940767870674413,0.7745935981230099
11,0.8364089614089615,0.7894651644651645,0.7896249052791109,0.7671079827942574
10,0.8338837088837089,0.8042929292929293,0.7858676433442789,0.7722473604826545
9,0.8373478373478374,0.8067534317534317,0.7892144480929528,0.7698452600413384
8,0.8518194768194768,0.8104118104118104,0.7833417529679213,0.7703759566504664
7,0.8517547267547267,0.8091168091168092,0.7839732255620107,0.7766884531590413
6,0.8544094794094794,0.8152680652680653,0.7692283404900229,0.7746494609239707
5,0.836991711991712,0.8017353017353017,0.7604192978024753,0.7621361935087425
4,0.833980833980834,0.7958430458430458,0.7479161404395049,0.7559633540025696
3,0.8128399378399379,0.8135845635845637,0.7590616317251832,0.7466901290430702
2,0.8291569541569541,0.8117068117068118,0.7303296286941147,0.7540081559689403
1,0.8122248122248122,0.7853535353535354,0.7282457691336196,0.7378079436902966
