Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8769215107400997,0.8868980963045913,0.8823804088409256,0.8532142857142857
26,0.8772778173674031,0.8865926906240457,0.8833661927985887,0.8523660714285715
25,0.8760561946452203,0.8877634123994707,0.8827435924042751,0.8502678571428571
24,0.8755471851776443,0.887203501985137,0.882017225277576,0.8482142857142857
23,0.8751399776035834,0.8864908887305304,0.8819653419113833,0.8498660714285714
22,0.8738674539346432,0.8857273745291663,0.8824841755733112,0.8504017857142857
21,0.8744782652957346,0.8873053038786523,0.8818615751789975,0.8498214285714286
20,0.8734093454138246,0.8872544029318945,0.8813946248832624,0.8488839285714287
19,0.8732057416267942,0.8881706199735315,0.8806682577565632,0.8491517857142857
18,0.8745800671892497,0.886541789677288,0.8799937739960569,0.8500892857142857
17,0.8736129492008551,0.8876107095591979,0.8806163743903704,0.8488839285714286
16,0.8714751094370354,0.8904102616308665,0.8805126076579849,0.8492410714285714
15,0.8703552886083681,0.8912246767789881,0.8799937739960568,0.85
14,0.8685737554718518,0.8884251247073196,0.8810314413199128,0.8486607142857142
13,0.8729003359462486,0.8875598086124402,0.8815243332987445,0.8502455357142856
12,0.8702025857680953,0.8871017000916217,0.8776849642004773,0.8504241071428571
11,0.8662323119210018,0.8880688180800163,0.8776849642004774,0.8507366071428571
10,0.8606332077776646,0.8853710679018629,0.877269897270935,0.8529687499999999
9,0.8557467168889341,0.8829278224574978,0.8816799833973229,0.8562946428571429
8,0.8541942380128271,0.876896060266721,0.8798121822143822,0.8533035714285715
7,0.8691591163595644,0.8822661101496487,0.8787745148905262,0.8513392857142856
6,0.8653924462995013,0.8829278224574977,0.8793192902355504,0.8494419642857143
5,0.8666649699684414,0.8825206148834369,0.8694095672927259,0.8518303571428572
4,0.8613203705588924,0.8778886287284945,0.8655442565113625,0.8407589285714286
3,0.870228036241474,0.8741728596151889,0.8505240219985473,0.83953125
2,0.8530489667107808,0.8552886083681156,0.871562726989727,0.8296428571428571
1,0.8095795581797822,0.7885829176422682,0.8344401784787797,0.7452901785714285
