Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7073755282960521,0.7663252240717029,0.7172087341578868,0.7356261022927689
26,0.7109060921554479,0.7694494238156211,0.7196009568890925,0.7413139329805997
25,0.7134316049891765,0.7709346991037132,0.711533567465771,0.7430114638447972
24,0.7131738995979796,0.7761075544174135,0.7084796661067847,0.7384259259259259
23,0.7088959901041131,0.7789756722151088,0.6920649463022344,0.7385141093474428
22,0.7064993299659829,0.7788732394366197,0.6920649463022344,0.7387566137566136
21,0.711060715390166,0.7758002560819462,0.6920649463022345,0.7366181657848324
20,0.7111637975466447,0.7629961587708066,0.713798544307019,0.738888888888889
19,0.7141274095454077,0.7646350832266325,0.7135440525271033,0.7367063492063491
18,0.7108545510772086,0.7547759282970551,0.7118389576016695,0.7364858906525573
17,0.7068858880527781,0.7579257362355953,0.6988344276479869,0.7346781305114639
16,0.7054685084011958,0.7512676056338028,0.6988344276479869,0.7330908289241622
15,0.7006494175858159,0.7501920614596671,0.6970020868325952,0.7314814814814815
14,0.6942067828058962,0.7482202304737517,0.6988598768259786,0.7274911816578482
13,0.6859344397484796,0.742483994878361,0.699343411207818,0.7266313932980599
12,0.6823265642717247,0.7537259923175414,0.6990634702499109,0.7232363315696648
11,0.6823523348108443,0.7626888604353393,0.6927775232859978,0.7230158730158731
10,0.6856380785486033,0.7650704225352112,0.6927775232859978,0.7235008818342151
9,0.6873260488609423,0.7706017925736235,0.6800529342902225,0.7317239858906526
8,0.6845557159055768,0.7732906530089629,0.6797984425103069,0.7345679012345679
7,0.692235336563241,0.7651984635083228,0.6789077212806026,0.7332451499118166
6,0.6833702711060716,0.755236875800256,0.6653433094111061,0.7280313051146384
5,0.682455416967323,0.7612035851472472,0.6538530055479208,0.7124779541446208
4,0.6683073909906195,0.7466197183098591,0.6488904158395684,0.7016534391534391
3,0.6631919389753633,0.7338028169014084,0.6551254644474985,0.6990630511463845
2,0.6336975569528915,0.7284507042253522,0.6619331195602381,0.6551807760141094
1,0.609460364910834,0.6900384122919334,0.6038199216165318,0.6341931216931218
