Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.8258398585501389,0.7513892397069967,0.8094215711038142,0.8155410312273057
26,0.8220510229856024,0.7521470068199039,0.8069588279868655,0.8168817384503658
25,0.8188936600151554,0.752620611265471,0.8094847183632231,0.8163789732417183
24,0.8148522354129831,0.7552727961606467,0.8059484718363222,0.8147030892128931
23,0.8086638039909069,0.7540098509724678,0.8053169992422329,0.8146472264119323
22,0.8053169992422329,0.7584933063905027,0.8027911088658751,0.8098430255293
21,0.799696893154837,0.7597562515786814,0.8003283657489265,0.8121892631696555
20,0.7954976004041425,0.7611454912856783,0.797013134629957,0.806854365677895
19,0.8028542561252843,0.7617769638797676,0.7876041929780249,0.7629462041226748
18,0.78728845668098,0.7615875221015409,0.789561758019702,0.7628344785207531
17,0.7870358676433442,0.7665761555948473,0.792845415508967,0.7698173286408581
16,0.7792687547360445,0.7665130083354382,0.7934137408436474,0.7612703200938495
15,0.7799002273301339,0.7605771659509977,0.7710911846425865,0.7673035025976203
14,0.7795213437736803,0.7601667087648396,0.7713753473099269,0.7675828166024244
13,0.7863728214195504,0.7605140186915889,0.7619664056579944,0.7687559354226021
12,0.7963500884061632,0.7592194998737055,0.7651869158878505,0.7673872967990615
11,0.7946766860318262,0.7570724930538014,0.7719120990149027,0.7721914976816937
10,0.7986865370042942,0.7572935084617328,0.7565041677191211,0.7670241885928161
9,0.8034541550896691,0.7576723920181865,0.7579565546855267,0.7756549913412658
8,0.809547865622632,0.7586196009093206,0.7540729982318768,0.7669683257918551
7,0.7816052033341753,0.75,0.7568830512755746,0.7673035025976201
6,0.7932874463248295,0.7588090426875473,0.7606403132104068,0.7750125691302162
5,0.8056958827986866,0.7487686284415257,0.7690073250820915,0.794620412267471
4,0.8015597373074008,0.7557464006062137,0.7515786814852237,0.7786995139936316
3,0.804653953018439,0.7502841626673402,0.7421065925738823,0.7761018937489526
2,0.8164624905279112,0.7492738065167972,0.7373074008588028,0.7447349310094409
1,0.786814852235413,0.6977456428391009,0.6745390250063148,0.7376682866878945
