Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7057245080500895,0.7371614088017315,0.7528324388789506,0.7394229481858348
26,0.7046975419068442,0.7363415753918804,0.7522692638971709,0.7162940152630873
25,0.7070827535943816,0.7387354889486456,0.7468362817200026,0.7062190386932656
24,0.711024978466839,0.7380468288843707,0.7466043861392698,0.7042776810818049
23,0.7138739813158418,0.7376205155112482,0.7468362817200026,0.7069554157183023
22,0.7164579606440071,0.7373909621564898,0.7468031537798979,0.708896773329763
21,0.7163917047637978,0.7392273889945563,0.7468031537798979,0.713164412906681
20,0.7196382428940569,0.736866268774185,0.7462731067382231,0.7081771321462043
19,0.7161266812429602,0.7397520823768611,0.748592062545551,0.7071395099745614
18,0.7168886238653681,0.7397520823768611,0.7457099317564434,0.7095829428303656
17,0.7202014178758366,0.7410966091690168,0.7457099317564434,0.7072399250234302
16,0.7167561121049493,0.7407686758050764,0.7491386735572783,0.7070056232427365
15,0.7164248327039026,0.7362759887190923,0.7483767309348706,0.7086289998661133
14,0.7105280593652686,0.7362759887190923,0.7522858278672232,0.7116581871736511
13,0.7062876830318691,0.7390306289761921,0.7563936924402042,0.7035915115812024
12,0.7005234214536541,0.7410966091690169,0.7563605645000995,0.7036249832641585
11,0.6981713377062214,0.7399488423952253,0.7576194262240773,0.6991230419065471
10,0.6971112436228716,0.7402439824227717,0.7604849930431327,0.6929307805596465
9,0.6965149407009872,0.7442119761264512,0.7600543298217718,0.6990226268576785
8,0.7024779699198305,0.7475896897750378,0.758762340157689,0.6900187441424556
7,0.7048300536672629,0.7475896897750378,0.7582322931160141,0.6918931583880037
6,0.7064864506724973,0.758772217485407,0.7562446167097331,0.6842616146739858
5,0.7098323726230703,0.7680855250213157,0.7559133373086862,0.6843452938813763
4,0.7284502749619028,0.7686266150718175,0.7435566156496389,0.6865376891150087
3,0.7156131981713377,0.7571325506657047,0.7207811568276685,0.6904873477038426
2,0.67312661498708,0.7395553223584969,0.6964155568806732,0.6767472218503146
1,0.6671470217981845,0.6944152948120942,0.7225866295633737,0.6306734502610791
