Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7779556551668934,0.8043304250380213,0.7815617206982544,0.8205349794238683
26,0.7742735932121988,0.8032898423116945,0.7558057980049876,0.8194650205761317
25,0.7709917553830146,0.8121347954854718,0.7540913341645886,0.8200411522633745
24,0.7683902985671976,0.8142559833506764,0.7455969451371571,0.8223045267489711
23,0.7671496037781158,0.817858000480269,0.7465710723192021,0.8210699588477366
22,0.7685904106299528,0.8138557592251661,0.745051433915212,0.8196296296296295
21,0.7683902985671975,0.8188185383814937,0.7504675810473815,0.817201646090535
20,0.7726326742976066,0.8148563195389418,0.7524548004987531,0.8151028806584363
19,0.7663891779396462,0.8120147282478188,0.7465710723192021,0.8168724279835391
18,0.7647682702313296,0.8096934283198591,0.7460645261845387,0.8172016460905349
17,0.7643080124869926,0.8087128792123589,0.7480322630922693,0.821358024691358
16,0.7650684383254622,0.8062314896341951,0.7487725997506234,0.8206584362139918
15,0.765528696069799,0.8044705034819499,0.7446423004987531,0.8194650205761317
14,0.7637677099175538,0.8072520611542463,0.7379597880299251,0.8216666666666667
13,0.7647282478187785,0.8084127111182262,0.7411938902743143,0.8219135802469136
12,0.7620667573841351,0.8034899543744496,0.7366934226932669,0.8179835390946503
11,0.7581445609541343,0.7994877131193467,0.7397521820448878,0.8174485596707819
10,0.7537220843672456,0.7921035780036821,0.7292900561097257,0.8175308641975308
9,0.7522012326903065,0.7902425358200592,0.7349984413965087,0.8132921810699588
8,0.7547426558872969,0.7873409109101097,0.7375896197007481,0.8056995884773662
7,0.7415752821580085,0.7812975266149043,0.7484024314214465,0.8047325102880659
6,0.7474985992155607,0.7751941087008724,0.7408042394014962,0.8084156378600824
5,0.7483790922916833,0.8023693268230209,0.7429083541147132,0.7930452674897119
4,0.7185223725286161,0.7821580084847515,0.7441747194513715,0.7946502057613168
3,0.6683943008084527,0.7419755062835187,0.6995207294264338,0.7759465020576132
2,0.6316137036740574,0.7138797726726966,0.6872662094763093,0.7053909465020576
1,0.5918114143920595,0.6605699191547266,0.6353062655860349,0.6636008230452675
