Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.6909053497942387,0.7681481481481482,0.7290519359484877,0.7090311986863711
26,0.6830452674897121,0.7662139917695473,0.6950351605524019,0.7178981937602626
25,0.6890946502057613,0.7394650205761317,0.6901635177497246,0.7185002736726874
24,0.6931275720164609,0.719753086419753,0.6900364314157418,0.7220397737639117
23,0.6906584362139918,0.719753086419753,0.6924934338727442,0.7219667943805874
22,0.6903292181069959,0.719753086419753,0.6921968990934508,0.7237182995803685
21,0.6925102880658437,0.7197119341563785,0.6933830382106244,0.7197044334975369
20,0.6871604938271605,0.719753086419753,0.7017707362534948,0.7182630906768838
19,0.6860493827160494,0.7197119341563785,0.7010929424722528,0.7143222039773763
18,0.691687242798354,0.719753086419753,0.704481911378463,0.7197956577266923
17,0.6904115226337448,0.719753086419753,0.7011776666949081,0.7205984309432585
16,0.6932098765432099,0.719753086419753,0.699822079132424,0.7220215289180807
15,0.6979423868312757,0.719753086419753,0.699822079132424,0.7213282247765006
14,0.7136625514403292,0.719753086419753,0.7006693213589765,0.7129355956942163
13,0.7161728395061729,0.719753086419753,0.6968990934508176,0.7192665571975917
12,0.7224897119341563,0.719753086419753,0.693764297212573,0.7135924101441343
11,0.7165637860082305,0.719753086419753,0.6934677624332797,0.7136106549899653
10,0.7309053497942387,0.7207407407407407,0.6699991527577736,0.7199598613391718
9,0.7338888888888888,0.7202469135802468,0.658773193255952,0.7194672505017332
8,0.7295267489711935,0.7228806584362141,0.6597898839278149,0.7112023353402663
7,0.7267695473251029,0.7122222222222222,0.6552571380157587,0.6891990512680167
6,0.7196296296296296,0.7030041152263375,0.6436711005676523,0.6717204889618682
5,0.7076748971193415,0.6760493827160494,0.6280394814877573,0.6724502827951103
4,0.6836831275720164,0.6757201646090535,0.6342243497415911,0.6938514869549353
3,0.6618312757201645,0.6257818930041152,0.6299881386088282,0.6678708264915161
2,0.6539300411522635,0.613045267489712,0.602304498856223,0.6463601532567049
1,0.5764197530864198,0.5932098765432099,0.5736465305430822,0.5945812807881773
