Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.7194858004853414,0.6662294221814128,0.7553170343868018,0.7246044418638409
26,0.7205679805863449,0.664229028661376,0.7624726694494137,0.7019015822325446
25,0.723650554207385,0.6603922083032728,0.7624726694494137,0.6978661634489767
24,0.72142060733259,0.6562602479176232,0.7624726694494137,0.6905791842067064
23,0.7193874204761591,0.6585885748016004,0.7624726694494137,0.686601829002758
22,0.7183380337115498,0.6636715419426772,0.7624726694494137,0.655595877485847
21,0.7184692070571259,0.6633764019151309,0.7624726694494137,0.6601248366961823
20,0.7090903128484293,0.6659342821538664,0.7624395415093089,0.6554797503266077
19,0.7102708729586148,0.6590476815111169,0.7624726694494137,0.660908695021048
18,0.7075162327015151,0.6583262281104479,0.7624726694494137,0.6588038902598345
17,0.7056962025316456,0.6584574014560242,0.7624726694494137,0.6584264769923065
16,0.7061717059093593,0.6563914212631993,0.7624726694494137,0.6573958484540572
15,0.7087295861480948,0.653243260969371,0.7624726694494137,0.6559007112788503
14,0.7051715091493407,0.6610480750311537,0.7624726694494137,0.6594135578458411
13,0.7011051354364792,0.6586869548107824,0.7624064135692044,0.6851647554071709
12,0.7014986554732079,0.661326818390503,0.7621082621082621,0.688982435767165
11,0.7035810323342298,0.66349117859251,0.7619260584376863,0.690463057047467
10,0.7005968387223716,0.6560306945628649,0.7571721990326642,0.687908259544201
9,0.6990227585754576,0.6674427756279924,0.7533790498906778,0.6867179561619974
8,0.7000885420082639,0.6597691349117859,0.750629430861989,0.6788358252286253
7,0.689824227716928,0.674542532957303,0.7482607831445041,0.6748294382348672
6,0.6795107234210008,0.676624909818325,0.7448651692837739,0.6995064595732327
5,0.684806847248639,0.6813307535908704,0.7396143907771815,0.7154303962839309
4,0.6604250016396668,0.6829868170787696,0.7242761545087126,0.727507620844825
3,0.6669016855774906,0.661228438381321,0.7062711190618167,0.7210770794019451
2,0.6074309700268905,0.6251557683478717,0.6506658715961041,0.7151691101756423
1,0.5831802977634944,0.5907719551387158,0.6176207513416816,0.6869211786906663
