Number of features,All assessments,Free assessments,Only parent report,Free assessments only parent report
27,0.803872053872054,0.7175575196408529,0.7409511784511785,0.6306818181818182
26,0.8032407407407408,0.7175575196408529,0.746773288439955,0.635381593714927
25,0.8060816498316499,0.7175575196408529,0.7419332210998878,0.6197741301907969
24,0.8019781144781144,0.7175575196408529,0.7340418069584735,0.6492704826038159
23,0.8039421997755332,0.7175575196408529,0.7241161616161617,0.6399060044893378
22,0.8051346801346801,0.7175575196408529,0.7257295173961841,0.6347152076318743
21,0.8051346801346801,0.7175575196408529,0.7253437149270483,0.661475869809203
20,0.8051346801346801,0.7175575196408529,0.7206790123456791,0.6674382716049383
19,0.8040824915824917,0.7175575196408529,0.7203282828282829,0.6687710437710438
18,0.8035914702581369,0.7175575196408529,0.7347081930415263,0.6913229517396184
17,0.8027146464646465,0.7175575196408529,0.7347783389450057,0.6912528058361391
16,0.8027497194163862,0.7175575196408529,0.7352342873176207,0.692375140291807
15,0.8045384399551067,0.7175575196408529,0.7377244668911336,0.6954615600448933
14,0.8056257014590349,0.7175575196408529,0.73804012345679,0.6981271043771045
13,0.8049943883277216,0.7175575196408529,0.7340768799102133,0.6904110549943883
12,0.8025392817059483,0.7175575196408529,0.7324284511784512,0.6848344556677891
11,0.8025392817059483,0.7175575196408529,0.7194514590347924,0.684273288439955
10,0.8025392817059483,0.7175575196408529,0.7164351851851852,0.6832912457912459
9,0.8003647586980921,0.7175575196408529,0.7160143097643098,0.6916736812570146
8,0.8041526374859709,0.7174873737373738,0.71875,0.689709595959596
7,0.8041526374859709,0.7177328843995511,0.7244318181818182,0.6740670594837261
6,0.8103956228956228,0.711770482603816,0.7216259820426487,0.6735058922558922
5,0.8005401234567902,0.7107182940516275,0.7166105499438833,0.6706649831649832
4,0.7911405723905723,0.7049663299663299,0.7176627384960719,0.6835718294051628
3,0.7425996071829406,0.6737514029180695,0.7081579685746351,0.6730499438832772
2,0.752665544332211,0.6663159371492704,0.7155583613916947,0.6347853535353535
1,0.7046506734006733,0.6464646464646464,0.662773569023569,0.6045875420875422
