Diag,Best score,AUC
Diag.Oppositional Defiant Disorder,"CBCL,CBCL_Ext_T",0.8514669290193165
Diag.ADHD-Combined Type,"SWAN,SWAN_HY",0.8514979671538022
Diag.Separation Anxiety,"CBCL,CBCL_AD_T",0.6971605379787028
Diag.Major Depressive Disorder,"CBCL,CBCL_WD_T",0.7594768926600215
Diag.Autism Spectrum Disorder,"ASSQ,ASSQ_Total",0.8565291687092933
Diag.Generalized Anxiety Disorder,"CBCL,CBCL_AD_T",0.7806273834261965
Diag.Social Anxiety (Social Phobia),"SRS,SRS_MOT_T",0.708877370184083
Diag.Specific Phobia,"CBCL,CBCL_AD_T",0.6598604508001603
Diag.No Diagnosis Given,"CBCL,CBCL_SC_T",0.36848423248853207
Diag.Enuresis,"CBCL,CBCL_OP",0.6545054852523697
Diag.ADHD-Inattentive Type,"SWAN,SWAN_IN",0.6633285386709756
Diag.Other Specified Attention-Deficit.Hyperactivity Disorder,"ARI_P,ARI_P_Total_Score",0.4874858614594401
Diag.Other Specified Anxiety Disorder,"CBCL,CBCL_AD_T",0.6122492199248486
Diag.Language Disorder,"SRS,SRS_COG_T",0.5867412676418401
Diag.Specific Learning Disorder with Impairment in Reading,"SWAN,SWAN_IN",0.490369908536398
Diag.Specific Learning Disorder with Impairment in Written Expression,"SWAN,SWAN_IN",0.557356079308057
Diag.Specific Learning Disorder with Impairment in Mathematics,"SWAN,SWAN_IN",0.579362504445173
