,AUROC,Best subscale,# of items in best subscale,Best subscale score
Diag.Oppositional Defiant Disorder,0.8587213779128673,CBCL_Ext_T,35,0.827
Diag.Autism Spectrum Disorder,0.8413490645811755,ASSQ_Total,27,0.814
Diag.ADHD-Combined Type,0.817738087114196,SWAN_HY,9,0.806
Diag.Generalized Anxiety Disorder,0.8314271691333608,SCARED_P_GD,9,0.784
Diag.Social Anxiety (Social Phobia),0.7954358736892422,SCARED_P_SC,7,0.779
Diag.Any Diag,0.81731277284456,CBCL_AP_T,10,0.766
Diag.NVLD without reading condition (test),0.731000884173298,SRS_COG_T,12,0.663
Diag.Specific Phobia,0.7465102456853695,CBCL_AD_T,13,0.655
Diag.NVLD (test),0.7188974742439349,SRS_COG_T,12,0.654
Diag.Borderline Intellectual Functioning (test),0.7665677938171511,SRS_COG_T,12,0.624
Diag.ADHD-Inattentive Type,0.7291059630647863,SWAN_IN,9,0.622
Diag.Processing Speed Deficit (test),0.736098959901687,SCQ_Total,40,0.606
Diag.Language Disorder,0.7036494354464504,APQ_P_PP,6,0.599
Diag.Specific Learning Disorder with Impairment in Reading (test),0.7076813757177077,APQ_SR_PP,6,0.581
Diag.Specific Learning Disorder with Impairment in Mathematics (test),0.6895773019820752,SRS_COG_T,12,0.575
Diag.Specific Learning Disorder with Impairment in Reading,0.7181469830162976,APQ_SR_INV_M,10,0.554
Diag.Specific Learning Disorder with Impairment in Written Expression (test),0.679865503141466,SRS_COG_T,12,0.552
Diag.No Diagnosis Given,0.8093037750657904,APQ_P_INV,10,0.522
