,AUROC,Best subscale,# of items in best subscale,Best subscale score
Diag.Oppositional Defiant Disorder,0.8828145007928249,CBCL_Ext_T,35,0.827
Diag.Autism Spectrum Disorder,0.8888342308754488,ASSQ_Total,27,0.814
Diag.ADHD-Combined Type,0.8292260817348355,SWAN_HY,9,0.806
Diag.Generalized Anxiety Disorder,0.8181527087606092,SCARED_P_GD,9,0.784
Diag.Social Anxiety (Social Phobia),0.7739129542469352,SCARED_P_SC,7,0.779
Diag.Any Diag,0.8254580487904516,CBCL_AP_T,10,0.766
Diag.NVLD without reading condition (test),0.7506868793479672,SRS_COG_T,12,0.663
Diag.Specific Phobia,0.7303851097136314,CBCL_AD_T,13,0.655
Diag.NVLD (test),0.7328866572805464,SRS_COG_T,12,0.654
Diag.Borderline Intellectual Functioning (test),0.7663137802442517,SRS_COG_T,12,0.624
Diag.ADHD-Inattentive Type,0.7144886363636364,SWAN_IN,9,0.622
Diag.Processing Speed Deficit (test),0.7303427473459355,SCQ_Total,40,0.606
Diag.Language Disorder,0.71533177566971,APQ_P_PP,6,0.599
Diag.Specific Learning Disorder with Impairment in Reading (test),0.714952204308746,APQ_SR_PP,6,0.581
Diag.Specific Learning Disorder with Impairment in Mathematics (test),0.704076117874616,SRS_COG_T,12,0.575
Diag.Specific Learning Disorder with Impairment in Reading,0.7393678314138111,APQ_SR_INV_M,10,0.554
Diag.Specific Learning Disorder with Impairment in Written Expression (test),0.7119131146136413,SRS_COG_T,12,0.552
Diag.No Diagnosis Given,0.8168451655511905,APQ_P_INV,10,0.522
