,AUROC,Best subscale,# of items in best subscale,Best subscale score
Diag.ADHD-Combined Type,0.8382124181833412,SWAN_HY,9,0.835
Diag.Autism Spectrum Disorder,0.8607214965092802,ASSQ_Total,27,0.835
Diag.Oppositional Defiant Disorder,0.8680905727739476,CBCL_AB_T,18,0.829
Diag.Any Diag,0.8324224546212169,SRS_DSMRRB_T,12,0.79
Diag.Social Anxiety (Social Phobia),0.7873600016261154,SCARED_P_SC,7,0.778
Diag.Generalized Anxiety Disorder,0.8201592971441974,SCARED_P_GD,9,0.773
Diag.Specific Learning Disorder with Impairment in Reading (test),0.7289314549349152,C3SR_LP_T,10,0.702
Diag.Specific Learning Disorder with Impairment in Reading,0.6763425577858568,C3SR_LP_T,10,0.694
Diag.Language Disorder,0.7090924872069679,C3SR_PI,10,0.685
Diag.Specific Learning Disorder with Impairment in Written Expression (test),0.6661407266251886,C3SR_LP_T,10,0.685
Diag.Specific Phobia,0.7445179318673295,CBCL_AD_T,13,0.67
Diag.NVLD without reading condition (test),0.7368946964792114,SRS_COG_T,12,0.669
Diag.NVLD (test),0.7129159995179313,SRS_COG_T,12,0.667
Diag.Borderline Intellectual Functioning (test),0.7327069365652398,C3SR_LP_T,10,0.646
Diag.Specific Learning Disorder with Impairment in Mathematics (test),0.6928001822738664,C3SR_LP_T,10,0.636
Diag.ADHD-Inattentive Type,0.725310001669418,SWAN_IN,9,0.622
Diag.No Diagnosis Given,0.8028284244974287,CCSC_DPS,5,0.604
Diag.Processing Speed Deficit (test),0.692268466781439,SWAN_IN,9,0.602
